CaseID	VehicleNumber	Axle	BrakeType	BRAPosition	ABSInstalled	ABSFunctional	AdjustorType	ChamberSize	ChamberType	StrokeType	LeftLength	RightLength	PSU	PSUStrata	RATWeight
335007109	3	2	1	1	1	1	1	20.6	14	2	2.9	3.81	11	6	125.127
335007109	3	3	1	1	1	1	1	20.6	14	2	3.18	3.49	11	6	125.127
335007109	3	4	1	2	1	1	1	20.6	14	2	3.18	9992	11	6	125.127
335007109	3	5	1	2	1	1	1	20.6	14	2	2.9	3.5	11	6	125.127
335007154	2	1	1	1	1	1	1	17.2	12	2	2.54	2.5	11	6	21.198
335007154	2	2	1	1	1	1	1	20.6	14	2	2.5	3.81	11	6	21.198
335007154	2	3	1	1	1	1	1	20.6	14	2	2.5	3.8	11	6	21.198
335007154	2	4	1	2	0	0	1	9999	99	2	9999	9999	11	6	21.198
335007154	2	5	1	2	0	0	1	20.6	14	2	3.18	3.18	11	6	21.198
335007154	2	6	1	2	0	0	1	20.6	14	2	5.72	3.81	11	6	21.198
335007154	2	7	1	2	0	0	1	20.6	14	2	9992	9992	11	6	21.198
335007248	1	1	2	1	1	1	2	8887	19	3	8887	8887	11	6	125.127
335007248	1	2	2	1	1	1	2	8887	19	3	8887	8887	11	6	125.127
336006304	2	1	1	1	99	99	2	17.2	3	2	1.91	1.9	13	6	41.321
336006304	2	2	1	1	99	99	2	20.6	3	2	2.54	2.54	13	6	41.321
336006304	2	3	1	1	99	99	2	20.6	3	2	2.22	2.2	13	6	41.321
336006304	2	4	1	1	99	99	2	20.6	3	2	2.2	2.2	13	6	41.321
336006328	2	1	1	1	1	1	2	17.2	12	2	3.8	4.1	13	6	243.914
336006328	2	2	1	1	1	1	2	20.6	14	2	1.9	.64	13	6	243.914
336006368	2	1	1	1	99	99	2	17.21	12	2	5.4	5.08	13	6	243.914
336006368	2	2	1	1	99	99	2	20.55	14	2	4.1	4.1	13	6	243.914
336006368	2	3	1	1	99	99	2	20.55	14	2	3.8	3.8	13	6	243.914
336006368	2	4	1	2	99	99	2	20.55	14	2	3.8	3.8	13	6	243.914
336006368	2	5	1	2	99	99	2	20.55	14	2	3.8	3.8	13	6	243.914
336006368	2	6	1	2	99	99	2	20.55	14	2	3.2	3.8	13	6	243.914
336006368	2	7	1	3	99	99	2	20.55	14	2	3.8	2.86	13	6	243.914
336006368	2	8	1	3	99	99	2	20.55	14	2	3.9	4.4	13	6	243.914
336006368	2	9	1	3	99	99	2	20.55	14	2	2.86	3.8	13	6	243.914
336006368	2	10	1	3	99	99	2	20.55	14	2	3.8	2.86	13	6	243.914
336006368	2	11	1	3	99	99	2	20.55	14	2	2.54	3.17	13	6	243.914
337006085	1	1	1	1	1	99	2	17.2	12	2	2.54	2.54	41	7	111.86
337006085	1	2	1	1	1	99	2	20.6	14	2	3.18	3.18	41	7	111.86
